_id,Mouse_Path_Length,Mouse_Avg_Speed,Mouse_Max_Speed,Mouse_Stops,Mouse_Click_Frequency,Mouse_Scroll_Speed,Mouse_Scroll_Direction_Changes,Avg_Click_X,Avg_Click_Y,Click_Spread,Typing_Speed,Keypress_Interval_Avg,Key_Hold_Duration_Avg,Special_Key_Usage,Error_Corrections,Pause_Between_Typing,Interaction_Duration,Mouse_Keyboard_Interaction_Correlation,Response_Time,Result
6742b57a9c127b74bcf46ea4,350.5583556860363,70.02763797164128,0.8353309390761112,24,0.5992808629644426,0.0,0,985.0,534.3333333333334,89.96145427217716,1.9976028765481422,213.33333333333334,213.33333333333334,1,0,287.0,5.006,0.8,0.0,0
6742b57f9c127b74bcf46ea5,153.3079996436684,30.624850108603358,0.9706813185707357,9,0.3995205753096284,0.0,0,884.0,493.5,71.8679344353238,1.3983220135836996,157.71428571428572,157.71428571428572,1,0,177.0,5.006,0.8,0.0,0
6742b5909c127b74bcf46ea6,109.6173432139636,21.892818696617457,0.5340002340823456,26,0.19972039145196727,0.0,0,953.0,451.0,0.0,1.3980427401637707,141.57142857142858,141.57142857142858,0,0,97.0,5.007,0.8,0.0,0
6742b5959c127b74bcf46ea7,83.06605563120904,8.299965590648386,0.9395810236483068,5,0.09992006394884094,0.0,0,947.0,533.0,0.0,0.49960031974420466,102.4,102.4,0,0,48.0,10.008,0.8,0.0,0
6742b5a59c127b74bcf46ea8,128.4807100922709,25.665343606126825,1.1333333333333333,4,0.1997602876548142,0.0,0,860.0,451.0,0.0,1.7978425888933278,161.77777777777777,161.77777777777777,0,0,112.0,5.006,0.8,0.0,0
6742b5aa9c127b74bcf46ea9,0.0,0.0,0.0,1,0.09999000099990002,0.0,0,862.0,523.0,0.0,1.0998900109989003,134.4,134.4,1,0,240.0,10.001,0.8,0.0,0
6742b5ab9c127b74bcf46eaa,27.459060435491963,5.34430915443596,3.9227229193559947,1,0.3892565200467108,0.0,0,692.5,329.5,27.459060435491963,2.7247956403269757,98.0,98.0,0,0,105.0,5.138,0.8,0.0,0
6742b5b09c127b74bcf46eab,105.75761209700134,10.574703739326202,1.3243512562760682,10,0.09999000099990002,0.0,0,676.0,431.0,0.0,0.9999000099990002,146.4,146.4,3,0,676.0,10.001,0.8,0.0,0
6742b5b59c127b74bcf46eac,73.01007473201571,4.867013847877856,1.2408837123369993,5,0.06666222251849876,0.0,0,656.0,499.0,0.0,0.7332844477034864,86.45454545454545,86.45454545454545,3,0,108.0,15.001,0.8,0.0,0
6742b5b59c127b74bcf46ead,174.0407265531799,34.780321053792946,1.0625,8,0.19984012789768188,0.0,0,871.0,448.0,0.0,1.7985611510791368,131.44444444444446,131.44444444444446,0,0,112.0,5.004,0.8,0.0,0
6742b5ba9c127b74bcf46eae,105.96755646236804,10.59569607662914,0.4,15,0.0,0.0,0,0.0,0.0,0.0,1.5998400159984003,132.26666666666668,132.26666666666668,1,0,206.0,10.001,0.8,0.0,0
6742b5bd9c127b74bcf46eaf,1815.528131812107,362.8878936262456,8.75,10,0.3997601439136518,0.0,0,1042.0,323.0,669.3190569526614,0.0,0.0,0.0,0,0,0.0,5.003,0.8,0.0,0
6742b5c29c127b74bcf46eb0,174.2425947537944,34.8345851167122,0.7288689868556626,21,0.39984006397441024,0.0,0,892.5,492.0,74.54528824815154,2.1991203518592566,147.3,147.3,1,0,192.0,5.002,0.8,0.0,0
6742b5c79c127b74bcf46eb1,79.50097992344215,5.299712014095204,1.0307764064044151,8,0.06666222251849876,0.0,0,723.0,421.0,0.0,0.3999733351109926,247.16666666666666,247.16666666666666,7,0,938.0,15.001,0.8,0.0,0
6742b5cc9c127b74bcf46eb2,1583.2163431419672,316.2637521258424,8.307693890471517,44,0.3995205753096284,0.0,0,906.5,488.0,78.00640999302557,1.1985617259288852,144.0,144.0,1,0,80.0,5.006,0.8,0.0,0
6742b5cc9c127b74bcf46eb3,143.49485127668655,7.170082010527484,1.2747548783981961,11,0.04996752111127767,0.0,0,697.0,509.0,0.0,0.7994803377804427,89.875,89.875,7,0,170.0,20.013,0.8,0.0,0
6742b5d19c127b74bcf46eb4,58.86718080522833,5.8826002603405945,0.7615773105863909,1,0.0,0.0,0,0.0,0.0,0.0,0.899370440691516,198.22222222222223,198.22222222222223,3,0,352.0,10.007,0.8,0.0,0
